Source Country,Destination Country,Path Length
Azerbaijan,Ecuador,3
Azerbaijan,Gambia,3
Azerbaijan,Guinea-Bissau,3
Azerbaijan,Aruba,3
Azerbaijan,Dominica,3
Azerbaijan,Guatemala,3
Azerbaijan,Costa Rica,3
Azerbaijan,Nicaragua,3
Azerbaijan,Saint Kitts and Nevis,3
Azerbaijan,Uruguay,3
Azerbaijan,Paraguay,3
Azerbaijan,Belize,3
Azerbaijan,Honduras,3
Azerbaijan,Guam,3
Azerbaijan,Suriname,3
Azerbaijan,Anguilla,3
Azerbaijan,British Virgin Islands,3
Azerbaijan,French Polynesia,3
Azerbaijan,Cayman Islands,3
Azerbaijan,Turks and Caicos Islands,3
Azerbaijan,El Salvador,3
Azerbaijan,Grenada,3
Azerbaijan,Fiji,3
Azerbaijan,Bolivia,3
Azerbaijan,Burundi,3
Azerbaijan,Zimbabwe,3
Azerbaijan,Equatorial Guinea,3
Azerbaijan,Comoros,3
Azerbaijan,Malawi,3
Azerbaijan,Palau,3
Azerbaijan,Western Sahara,3
Azerbaijan,Botswana,3
Azerbaijan,Guyana,3
Azerbaijan,Papua New Guinea,3
Azerbaijan,Sao Tome and Principe,3
Azerbaijan,Mozambique,3
Azerbaijan,Samoa,3
Azerbaijan,Kiribati,3
Azerbaijan,Tuvalu,4
Azerbaijan,Solomon Islands,3
Azerbaijan,Vanuatu,3
Azerbaijan,Tonga,3
Azerbaijan,Greenland,3
Azerbaijan,Cook Islands,3
Azerbaijan,American Samoa,3
Azerbaijan,Eritrea,3
Azerbaijan,Bhutan,3
Azerbaijan,Falkland Islands,3
Azerbaijan,Saint Vincent and the Grenadines,3
Azerbaijan,East Timor,3
Azerbaijan,New Caledonia,3
Azerbaijan,Norfolk Island,3
Azerbaijan,Nauru,3
Azerbaijan,Marshall Islands,3
Azerbaijan,Saint Pierre and Miquelon,3
Azerbaijan,Faroe Islands,3
Azerbaijan,Lesotho,3
Azerbaijan,Swaziland,3
Azerbaijan,Wallis and Futuna,4
Azerbaijan,Micronesia,4
Azerbaijan,Cocos (Keeling) Islands,4
Azerbaijan,Christmas Island,3
Russia,Dominica,3
Russia,Anguilla,3
Russia,British Virgin Islands,3
Russia,Comoros,3
Russia,Malawi,3
Russia,Botswana,3
Russia,Tuvalu,3
Russia,Solomon Islands,3
Russia,Vanuatu,3
Russia,Tonga,3
Russia,Falkland Islands,3
Russia,Saint Vincent and the Grenadines,3
Russia,Norfolk Island,3
Russia,Nauru,3
Russia,Lesotho,3
Russia,Swaziland,3
Russia,Wallis and Futuna,3
Russia,Micronesia,3
Russia,Cocos (Keeling) Islands,4
Russia,Christmas Island,3
Cote d'Ivoire,Ecuador,3
Cote d'Ivoire,Philippines,3
Cote d'Ivoire,Australia,3
Cote d'Ivoire,Cambodia,3
Cote d'Ivoire,Burma,3
